name	id	parent	geo	iso23	iso3
Nauru	naur1243	micr1243	-0.52957,166.922	na	nau
Norwegian	norw1258	west2805	59.92,10.71		
Norwegian Bokmål	norw1259	norw1258	61.112,8.886	nb	nob
East Bantu	east2731	narr1281			
Southern Bantu-Makua	sout3180	east2731			
Nguni-Tsonga	ngun1275	sout3180			
Nguni {S.40}	ngun1276	ngun1275			
Southern Ndebele-Lowland	ngun1267	ngun1276			
Zimbabwean Ndebele	nort2795	ngun1267	-20.2513,27.4096	nd	nde
Indo-Aryan Northern zone	indo1310	indo1321			
Eastern Pahari	east1436	indo1310	27.5947033333,87.6200833333	ne	nep
Tongic	tong1324	poly1242			
Niuean	niue1239	tong1324	-19.06,-169.86	niu	niu
Macro-Dutch	macr1270	wese1235			
Middle-Modern Dutch	midd1347	macr1270			
Modern Dutch	mode1257	midd1347			
Dutch	dutc1256	mode1257	52,5	nl	nld
Norwegian Nynorsk	norw1262	norw1258		nn	nno
Sumayela Ndebele	sout2808	ngun1276	-25.6272,29.048	nr	nbl
Sotho-Makua-Venda	soth1250	sout3180			
Sotho-Makua	soth1251	soth1250			
Sotho-Tswana {S.30}	soth1248	soth1251			
Sotho	soth1252	soth1248			
Northern Sotho	nort3233	soth1252			
Sepedic	sepe1241	nort3233			
Pedi	pedi1238	sepe1241	-24.7993,29.4718	nso	nso
Tumbuka-Sena-Nyanja	tumb1253	east2731			
Nyanjaic	nyan1319	tumb1253			
Nyanja	nyan1308	nyan1319	-14.8047,32.8108	ny	nya
Macro-Oriya	macr1269	oriy1254		or	ori
Sogdic-Ossetic	sogd1247	cent2317			
Ossetic	osse1245	sogd1247			
Ossetian	osse1243	osse1245	41.7882,43.2674	os	oss
Sindhi-Lahnda	sind1278	indo1324			
Eastern Panjabic	east2727	sind1278			
Eastern Panjabi	panj1256	east2727	30.0368,75.6702	pa	pan
Meso-Cordilleran	meso1254	nort3238			
South-Central Cordilleran	sout3211	meso1254			
Southern Cordilleran	sout2907	sout3211			
West Southern Cordilleran	west2550	sout2907			
Pangasinan	pang1290	west2550	15.9377,120.365	pag	pag
Macro-Portuguese	macr1272	gali1263			
Upper Guinea Portuguese	uppe1458	macr1272			
Papiamento	papi1253	uppe1458	12.48485,-69.93988	pap	pap
Palauan	pala1344	mala1545	7.34138,134.476678	pau	pau
Polish	poli1260	lech1241	51.8439,18.6255	pl	pol
Pashto	pash1269	iran1269			
